Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,Total - Sex,Total - Detailed Mother Tongue,26994045,18106760,4110305,4398655,378320
Canada (00000)   20000,Total - Sex,Single responses,26686850,17924115,4096770,4290545,375415
Canada (00000)   20000,Total - Sex,  English,16169875,14825635,7320,1330445,6475
Canada (00000)   20000,Total - Sex,  French,6502865,35375,3958060,2508065,1370
Canada (00000)   20000,Total - Sex,  Non-official languages,4014110,3063100,131395,452035,367570
Canada (00000)   20000,Total - Sex,    Aboriginal languages,172605,137890,9230,3995,21485
Canada (00000)   20000,Total - Sex,      Algonquian languages,118465,94310,8535,3280,12340
Canada (00000)   20000,Total - Sex,        Algonquin,-,-,-,-,-
Canada (00000)   20000,Total - Sex,        Attikamek,-,-,-,-,-
Canada (00000)   20000,Total - Sex,        Blackfoot,3440,3405,0,10,25
Canada (00000)   20000,Total - Sex,        Cree,73780,60955,2885,2205,7730
Canada (00000)   20000,Total - Sex,        Malecite,230,230,0,0,0
Canada (00000)   20000,Total - Sex,        Micmac,6020,5585,0,215,220
Canada (00000)   20000,Total - Sex,        Montagnais-Naskapi,7340,785,4920,215,1425
Canada (00000)   20000,Total - Sex,        Ojibway,21985,19840,0,185,1960
Canada (00000)   20000,Total - Sex,        Oji-Cree,-,-,-,-,-
Canada (00000)   20000,Total - Sex,"        Algonquian languages, n.i.e.",5670,3510,730,450,975
Canada (00000)   20000,Total - Sex,      Athapaskan languages,17660,15495,15,115,2035
Canada (00000)   20000,Total - Sex,        Carrier,1720,1680,0,10,40
Canada (00000)   20000,Total - Sex,        Chilcotin,855,815,0,0,30
Canada (00000)   20000,Total - Sex,        Chipewyan,2225,2065,0,45,115
Canada (00000)   20000,Total - Sex,        Dene,-,-,-,-,-
Canada (00000)   20000,Total - Sex,        Dogrib,2140,1795,0,10,345
Canada (00000)   20000,Total - Sex,        Kutchin-Gwich'in (Loucheux),445,435,0,10,10
Canada (00000)   20000,Total - Sex,        North Slave (Hare),35,35,0,0,0
Canada (00000)   20000,Total - Sex,        South Slave,3325,2920,10,40,355
Canada (00000)   20000,Total - Sex,"        Athapaskan languages, n.i.e.",6905,5745,0,15,1140
Canada (00000)   20000,Total - Sex,      Haida,95,90,0,10,0
Canada (00000)   20000,Total - Sex,      Iroquoian languages,465,410,0,35,15
Canada (00000)   20000,Total - Sex,        Mohawk,300,260,0,35,10
Canada (00000)   20000,Total - Sex,"        Iroquoian languages, n.i.e.",165,150,0,0,10
Canada (00000)   20000,Total - Sex,      Kutenai,155,155,0,0,0
Canada (00000)   20000,Total - Sex,      Salish languages,2470,2430,0,30,10
Canada (00000)   20000,Total - Sex,        Shuswap,-,-,-,-,-
Canada (00000)   20000,Total - Sex,        Thompson (Ntlakapamux),-,-,-,-,-
Canada (00000)   20000,Total - Sex,"        Salish languages, n.i.e.",2470,2430,0,25,10
Canada (00000)   20000,Total - Sex,      Siouan languages,3505,3305,0,30,170
Canada (00000)   20000,Total - Sex,        Dakota/Sioux,3510,3305,0,25,170
Canada (00000)   20000,Total - Sex,      Tlingit,90,85,0,10,0
Canada (00000)   20000,Total - Sex,      Tsimshian languages,340,335,0,0,0
Canada (00000)   20000,Total - Sex,        Tsimshian,335,340,0,0,0
Canada (00000)   20000,Total - Sex,        Gitksan,-,-,-,-,-
Canada (00000)   20000,Total - Sex,        Nishga,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Wakashan languages,2905,2875,0,10,15
Canada (00000)   20000,Total - Sex,        Nootka,-,-,-,-,-
Canada (00000)   20000,Total - Sex,"        Wakashan languages, n.i.e.",2905,2875,0,10,20
Canada (00000)   20000,Total - Sex,      Inuktitut (Eskimo),24100,16260,605,360,6870
Canada (00000)   20000,Total - Sex,"      Aboriginal languages, n.i.e.",2355,2140,75,115,25
Canada (00000)   20000,Total - Sex,    Romance languages,923285,573705,61810,178180,109590
Canada (00000)   20000,Total - Sex,      Italian,510990,321845,25130,115525,48495
Canada (00000)   20000,Total - Sex,      Portuguese,212090,136865,13335,25715,36175
Canada (00000)   20000,Total - Sex,      Romanian,22310,12440,1755,6730,1385
Canada (00000)   20000,Total - Sex,      Spanish,177425,102325,21570,29995,23535
Canada (00000)   20000,Total - Sex,"      Romance languages, n.i.e.",470,230,25,210,0
Canada (00000)   20000,Total - Sex,    Germanic languages,693170,625160,1650,55605,10750
Canada (00000)   20000,Total - Sex,      German,466245,423635,1150,32485,8970
Canada (00000)   20000,Total - Sex,      Yiddish,25370,19085,75,5290,925
Canada (00000)   20000,Total - Sex,      Netherlandic languages,149870,134370,370,14480,655
Canada (00000)   20000,Total - Sex,        Dutch,139035,126190,135,12060,640
Canada (00000)   20000,Total - Sex,        Flemish,8130,5610,235,2280,10
Canada (00000)   20000,Total - Sex,        Frisian,2710,2565,0,140,0
Canada (00000)   20000,Total - Sex,      Scandinavian languages,50005,46800,0,3005,195
Canada (00000)   20000,Total - Sex,        Danish,21790,20535,0,1185,70
Canada (00000)   20000,Total - Sex,        Icelandic,3355,3230,0,120,0
Canada (00000)   20000,Total - Sex,        Norwegian,13095,12460,0,570,60
Canada (00000)   20000,Total - Sex,        Swedish,11765,10570,10,1130,60
Canada (00000)   20000,Total - Sex,"      Germanic languages, n.i.e.",1675,1270,55,340,0
Canada (00000)   20000,Total - Sex,    Celtic languages,5035,4480,70,470,15
Canada (00000)   20000,Total - Sex,      Gaelic languages,2845,2605,10,220,10
Canada (00000)   20000,Total - Sex,      Welsh,2045,1840,0,205,0
Canada (00000)   20000,Total - Sex,"      Celtic languages, n.i.e.",145,35,65,45,0
Canada (00000)   20000,Total - Sex,    Slavic languages,569885,495495,3835,44915,25640
Canada (00000)   20000,Total - Sex,      Bulgarian,4065,2890,225,590,355
Canada (00000)   20000,Total - Sex,      Byelorussian,480,395,0,55,25
Canada (00000)   20000,Total - Sex,      Croatian,39660,35200,65,2645,1755
Canada (00000)   20000,Total - Sex,      Czech,26920,22820,180,3375,545
Canada (00000)   20000,Total - Sex,      Macedonian,15400,13840,0,500,1060
Canada (00000)   20000,Total - Sex,      Polish,189815,155180,2480,18175,13975
Canada (00000)   20000,Total - Sex,      Russian,35300,29375,240,3340,2345
Canada (00000)   20000,Total - Sex,      Serbian,11310,9775,30,890,615
Canada (00000)   20000,Total - Sex,      Serbo-Croatian,5230,4110,135,810,175
Canada (00000)   20000,Total - Sex,      Slovak,17710,15420,140,1840,310
Canada (00000)   20000,Total - Sex,      Slovenian,9095,8135,30,835,90
Canada (00000)   20000,Total - Sex,      Ukrainian,187015,173820,160,9645,3385
Canada (00000)   20000,Total - Sex,"      Slavic languages, n.i.e.",27875,24530,145,2205,995
Canada (00000)   20000,Total - Sex,    Baltic languages,21495,18635,25,2475,360
Canada (00000)   20000,Total - Sex,      Latvian (Lettish),10150,9035,0,1000,110
Canada (00000)   20000,Total - Sex,      Lithuanian,11340,9600,20,1475,250
Canada (00000)   20000,Total - Sex,    Finno-Ugric languages,119270,104145,550,11240,3335
Canada (00000)   20000,Total - Sex,      Estonian,11795,10550,0,1005,240
Canada (00000)   20000,Total - Sex,      Finnish,27705,25820,10,1210,675
Canada (00000)   20000,Total - Sex,      Hungarian,79770,67785,540,9030,2420
Canada (00000)   20000,Total - Sex,    Greek,126205,86645,1025,27645,10890
Canada (00000)   20000,Total - Sex,    Armenian,25785,10100,1700,11625,2355
Canada (00000)   20000,Total - Sex,    Turkic languages,9085,6120,555,1365,1045
Canada (00000)   20000,Total - Sex,      Turkish,8925,6010,555,1330,1025
Canada (00000)   20000,Total - Sex,"      Turkic languages, n.i.e.",155,110,0,35,20
Canada (00000)   20000,Total - Sex,    Semitic languages,149275,81760,14155,41910,11455
Canada (00000)   20000,Total - Sex,      Amharic,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Arabic,107750,48650,13090,37055,8955
Canada (00000)   20000,Total - Sex,      Hebrew,11900,8365,200,3110,225
Canada (00000)   20000,Total - Sex,      Maltese,8200,7990,0,170,40
Canada (00000)   20000,Total - Sex,      Somali,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Tingringa,-,-,-,-,-
Canada (00000)   20000,Total - Sex,"      Semitic languages, n.i.e.",21430,16750,865,1570,2240
Canada (00000)   20000,Total - Sex,    Indo-Iranian languages,301335,249175,1210,17430,33520
Canada (00000)   20000,Total - Sex,      Bengali,8480,6650,100,1150,575
Canada (00000)   20000,Total - Sex,      Gujarati,38070,32310,140,2215,3405
Canada (00000)   20000,Total - Sex,      Hindi,34500,31095,40,1735,1635
Canada (00000)   20000,Total - Sex,      Konkani,-,-,-,-,-
Canada (00000)   20000,Total - Sex,      Kurdish,1190,910,30,45,200
